image_id,region_id,caption,scene_graph
2344605,3403001,bike resting against box,"( bike , v:rest against , box )"
2399217,793369,one woman is holding the umbrella .,"( woman , v:hold , umbrella )"
2319840,4385413,a large tree trunk coming through a deck,"( tree trunk , is , large ) , ( tree trunk , v:come through , deck )"
3360,5096827,leg of the man,"( man , v:have , leg )"
2391711,1153780,an oil covered road .,"( oil , v:cover , road )"
2387329,1764152,giraffes are enclosed in a pen,"( pen , v:enclose , giraffes )"
2386017,1826701,a large building behind the street,"( building , behind , street ) , ( building , is , large )"
2323675,4601828,man sitting on sidelines with white towel,"( towel , is , white ) , ( man , with , towel ) , ( man , v:sit on , sidelines )"
2322452,4660563,there are two plants,"( plants , is , 2 )"
2343951,3433557,wood desk in office,"( desk , is , wooden ) , ( desk , in , office )"
2319449,5437130,mirror is leaning against the wall,"( mirror , v:lean against , wall )"
2360644,2637497,wooden bench facing the sea,"( bench , is , wooden ) , ( bench , v:face , sea )"
1395,4998584,man has ear,"( man , v:have , ear )"
2376335,1690861,a green pole burried in dirt .,"( pole , is , green ) , ( pole , pv:bury in , dirt )"
2350225,3134436,green grass lining the tarmac,"( grass , is , green ) , ( grass , v:line , tarmac )"
2374463,1976324,cliff surrounded by water,"( water , v:surround , fence )"
2404358,550231,the fire hydrant is next to the side walk,"( fire hydrant , next to , sidewalk )"
2346031,3335036,brown hair on man 's head,"( man , v:have , head ) , ( hair , is , brown ) , ( hair , on , head )"
2386936,1783092,log leaning against a wooden fence,"( log , v:lean against , fence ) , ( fence , is , wooden )"
2370266,2177769,the sky has some clouds,"( sky , v:have , clouds )"
2320975,4733249,string attached to the kite,"( string , pv:attach to , kite )"
2389197,1274938,two boys riding skateboards,"( boys , is , 2 ) , ( boys , v:ride , skateboards ) , ( skateboards , is , 2 )"
2357950,2766132,the boy is looking out the window,"( boy , v:look out , window )"
2359715,2681595,the sofa the man is sitting on .,"( man , v:sit on , sofa )"
2351058,3094626,opening of the shower door and towel .,"( shower door , is , opening ) , ( towel , on face of , shower door )"
2355587,2878816,the t-shirt is red,"( t-shirt , is , red )"
2320180,5432363,horse walking on side walk,"( horse , v:walk on , sidewalk )"
2397311,884713,the graffitti on the sign,"( graffiti , on , sign )"
2391968,1141628,giraffe walking away in field,"( giraffe , v:walk in , field )"
2361273,2607101,black platter under pizza,"( platter , is , black ) , ( platter , under , pizza )"
498358,5241230,window surrounded by dark curtains,"( curtains , is , dark ) , ( curtains , v:surround , window )"
2371355,2126060,wire tower by the tower .,"( tower , by , tower:1 ) , ( tower , is , wire )"
2328356,5889885,man with glasses on,"( man , v:wear , glasses )"
2332912,3960471,a car with bears,"( bears , with , car )"
2373113,2041946,a glass wall at the train platform,"( wall , is , glass ) , ( wall , at , train platform )"
2414062,74722,a motorcycle leaning against wall,"( motorcycle , v:lean against , wall )"
2388194,1322923,they are on the sand .,"( people , on , sand )"
2407573,335231,orange brownish wall in room,"( wall , in , room ) , ( wall , is , brownish ) , ( wall , is , orange )"
2359164,2708181,a mirror hanging above a sink,"( mirror , v:hang above , sink )"
2395128,990469,teddy bear wearing kimono,"( teddy bear , v:wear , kimono )"
2398442,830339,a train passes through an arch underneath a stone bridge,"( train , v:pass through , arch ) , ( bridge , is , stone ) , ( train , v:pass under , bridge )"
2404502,543241,three boys climbing a hill,"( boys , is , 3 ) , ( boys , v:climb , hill )"
2364071,2473180,television set playing baseball game,"( television set , v:play , baseball game )"
2407754,326727,the cat is in the sink,"( cat , in , sink )"
2349232,3182001,the water on the ground,"( water , on , ground )"
2400209,745784,a row of buildings lining the street,"( buildings , v:line , street )"
2384698,1889583,the road has dirt and grass .,"( road , v:have , dirt ) , ( road , v:have , grass )"
2353151,2994801,three phones on table,"( phones , on , table ) , ( phones , is , 3 )"
2378269,1598998,a london clock tower,"( clock , on , tower )"
498000,5223324,the parked motorcycle is in front of the building,"( motorcycle , in front of , building ) , ( motorcycle , is , parked )"
2338872,3876164,yellow clock hand made out of people,"( clock , v:have , hand ) , ( hand , is , yellow ) , ( hand , pv:make of , people )"
2354593,2926235,a guy trying to throw a frisbee,"( person , v:throw , frisbee )"
2353580,2974273,the pop bottle is in the bag,"( bottle , in , bag ) , ( bottle , is , pop )"
2355302,2892426,person is wearing a face mask,"( person , v:wear , face mask )"
1592583,5384526,reflection of man taking picture,"( man , v:hold , camera ) , ( man , is , taking photo ) , ( man , v:have , reflection )"
2354974,2908003,man wearing a white and red stripe shirt,"( shirt , is , striped ) , ( shirt , is , red ) , ( shirt , is , white ) , ( man , v:wear , shirt )"
196,5518612,wood panels under windows,"( panels , under , windows ) , ( panels , is , wooden )"
2343699,3445667,old woman sitting at a table,"( woman , v:sit at , table ) , ( woman , is , old )"
2348311,3226165,girl is wearing brown boots,"( boots , is , brown ) , ( girl , v:wear , boots )"
2316717,4535290,a train with windows,"( train , with , windows )"
2376683,1673948,three elderly people sitting on benches,"( people , is , 3 ) , ( people , v:sit on , benches ) , ( people , is , elderly )"
2325794,4300880,two orange stripes on the wall tile .,"( stripes , on , tile ) , ( stripes , is , orange ) , ( wall , v:have , tile ) , ( stripes , is , 2 )"
2387156,1772458,person wearing striped tie,"( tie , is , striped ) , ( person , v:wear , tie )"
285663,5196976,an adult zebra with baby,"( zebra , with , baby ) , ( zebra , is , adult )"
2349174,3184711,a man wearing glasses,"( man , v:wear , glasses )"
2397145,892656,a woman with muscular legs,"( legs , is , muscular ) , ( woman , with , legs ) , ( legs , is , 2 )"
2354078,2950625,a head of white hair,"( head , v:have , hair ) , ( hair , is , white )"
3307,5094142,the red car parked in front of the building,"( car , is , red ) , ( car , pv:park in front of , building )"
2381340,1453522,a rock laying on the ground .,"( rock , v:lay on , ground )"
2352322,3034309,a white cloth under jar,"( cloth , is , white ) , ( cloth , under , jar )"
2405730,423444,fingers on wrinkled paper,"( fingers , on , paper ) , ( paper , is , wrinkled )"
2354117,2948778,a man surfing on a surfboard,"( man , v:surf on , surfboard )"
2373037,2045596,guy wearing shorts,"( person , v:wear , shorts )"
498033,5224950,person walking across street .,"( person , v:walk across , street )"
2338108,3912554,people playing with a frisbee,"( people , v:play with , frisbee )"
2328129,4188555,a wall behind the suitcase,"( wall , behind , suitcase )"
2354969,2908189,watch has black face,"( watch , v:have , face ) , ( face , is , black )"
2383745,1934987,the plane is in the air,"( plane , in , air )"
150550,5649426,stairs to the platform,"( stairs , to , platform )"
2340,5563052,woman in long black jacket,"( jacket , is , long ) , ( jacket , is , black ) , ( woman , in , jacket )"
2371739,2107602,a person going down snow hill,"( person , v:go down , snow hill )"
2348076,3237238,a bag on the ground .,"( bag , on , ground )"
2321635,4701653,skateboarder jumping over barrier .,"( skateboarder , v:jump over , barrier )"
2350475,3122606,winning ribbon is attached to the carrots .,"( ribbon , pv:attach to , carrots )"
2348028,3239508,green tree covered in snow,"( snow , v:cover , tree ) , ( tree , is , green )"
2358784,2726199,vegetables on a toasted bread,"( bread , is , toasted ) , ( vegetables , on , bread )"
2381131,1463250,pictures are hanging in wall .,"( pictures , v:hang in , wall )"
498133,5965809,an acoustic guitar by the bookcase,"( guitar , is , acoustic ) , ( guitar , by , bookcase )"
285626,5943655,person skiiing down hill,"( person , v:ski down , hill )"
2389698,1250999,metal lining the side of the road,"( metal , in , line ) , ( metal , on side of , road )"
2398698,817938,the tail of an airplane,"( airplane , v:have , tail )"
3233,5090445,this is an urban park,( urban park )
2350151,3137836,pane of glass covered in droplets of water,"( droplets , v:cover , pane ) , ( droplets , is , water ) , ( pane , is , glass )"
2335918,3663024,a person waiting for the train,"( person , v:wait , train )"
2370499,2166516,hardwood floor with foreground of furniture person and computer,"( furniture , on , floor ) , ( computer , on , furniture ) , ( person , on , furniture ) , ( floor , is , hardwood )"
2320490,4756736,branch hanging in front of windows,"( branch , v:hang in front of , windows )"
2361261,2607733,man leaning against bicycle,"( man , v:lean against , bicycle )"
2321724,4697357,skier on side of mountain,"( skier , on side of , mountain )"
2362913,2528787,bathroom done in light colored wood with dark cabinets,"( bathroom , with , cabinets ) , ( cabinets , is , dark ) , ( bathroom , is , wooden ) , ( bathroom , is , light colored )"
2409893,224174,a machine for making donuts,"( machine , v:make , donuts )"
2260,5560754,a brown building behind the trees,"( building , is , brown ) , ( building , behind , trees )"
2349853,3152001,a lamp post with white bulbs .,"( lamp post , with , bulbs ) , ( bulbs , is , white )"
1592503,6060152,tree on the sidewalk,"( tree , on , sidewalk )"
2460,5566681,fence is beneath plane,"( fence , under , plane )"
2318126,4467508,a lamp turned on towards the wall,"( lamp , pv:turn towards , wall )"
2395537,970998,the sky above the plane,"( sky , above , plane )"
2370537,2164699,two women standing by rhe fence,"( women , is , 2 ) , ( women , v:stand by , fence )"
2404159,559668,bicycle leaning again building in city,"( bicycle , v:lean against , building )"
2392490,1116704,the plate is on a wooden table .,"( plate , on , table ) , ( table , is , wooden )"
2340392,3603961,girl taking a photograph with her cell phone,"( girl , with , cellphone ) , ( girl , is , taking photo )"
2383254,1958587,the man is driving the scooter,"( man , v:drive , scooter )"
2351337,3081390,people standing in front of cars,"( people , v:stand in front of , cars )"
2408891,272679,the back of a black car beyond the ramp,"( car , is , black ) , ( car , beyond , ramp ) , ( car , v:have , back )"
2342366,3509211,a glass cup filled with a beverage,"( cup , is , glass ) , ( cup , pv:fill with , beverage )"
2346858,3295311,white sleeveless shirt with pointy collar,"( shirt , is , white ) , ( shirt , with , collar ) , ( shirt , is , sleeveless ) , ( collar , is , pointy )"
2368116,2280159,a man is standing beside the motorcycle,"( man , v:stand beside , motorcycle )"
2363651,2493308,man and woman talking,"( woman , v:talk to , man )"
2393229,1081167,tree foliage against sky,"( tree foliage , against , sky )"
2412197,164374,she is holding a racket,"( woman , v:hold , racket )"
2396701,914392,eight lamps are attached to the clock .,"( lamps , pv:attach to , clock ) , ( lamps , is , 8 )"
2403143,607996,pink tile on the wall of bathroom .,"( pink , v:bat in , wall ) , ( bathroom , v:have , wall ) , ( tile , on , wall )"
2411147,504803,a man standing next to a motorcycle,"( man , v:stand next to , motorcycle )"
2352590,3021495,a pair of zebras in a field,"( zebras , in , field )"
2336783,3621982,there is gravel on the side of the train,"( gravel , on side of , train )"
2360886,2625747,tape wrapped around a suitcase,"( tape , pv:wrap around , suitcase )"
2414687,56445,the man is wearing a gray jacket,"( jacket , is , gray ) , ( man , v:wear , jacket )"
2339393,3851048,silver car passing a motorcycle,"( car , v:pass , motorcycle ) , ( car , is , silver )"
2360630,2638235,man is doing tricks in air .,"( man , v:trick in , air )"
2328173,4186552,hand holding vertical ski pole,"( ski pole , is , vertical ) , ( hand , v:hold , ski pole )"
