image_id	region_id	caption	scene_graph
498153	5230947	a monitor on a table	( monitor , on , table )
2375718	1720482	cooler full of drinks	( cooler , p:fill , with , drinks )
2350966	3099138	grass beneath the red sign	( sign , is , red ) , ( grass , under , sign )
2394547	1018200	a roof is visible behind the stone wall	( roof , behind , wall ) , ( wall , is , stone )
2368265	2272993	the red sauce on the shredded chicken .	( sauce , on , chicken ) , ( sauce , is , red ) , ( chicken , is , shredded )
3360	5096792	the person is wearing blue jeans	( person , wear , jeans ) , ( jeans , is , blue )
2362525	2547482	person carrying dog on his back	( dog , on , back ) , ( person , carry , dog )
2345931	3339756	a man and woman flying a kite	( woman , fly , kite ) , ( man , fly , kite )
2415022	41146	man holding an inflatable shark	( man , hold , shark ) , ( shark , is , inflatable )
2321133	4725643	beans are in a plastic bag .	( beans , in , plastic bag )
2381677	1437434	red apples next to green apples	( apples:1 , is , red ) , ( apples , is , green )
2376189	1697962	the baby is in the car .	( baby , in , car )
2401182	699063	star logo and us air force on the side of the silver plane with the black nose	( plane , have , nose ) , ( words , on side of , plane ) , ( logo , is , star ) , ( logo , on side of , plane ) , ( nose , is , black ) , ( words , is , us air force ) , ( plane , is , silver )
2410335	202903	these are leaves down the bicycle	( leaves , down , bicycle )
2372973	2048748	red bench with black arm	( bench , is , red ) , ( arm , is , black ) , ( bench , with , arm )
2390827	1196632	three large trees behind a zebra .	( trees , is , large ) , ( trees , is , 3 ) , ( trees , behind , zebra )
2407028	361408	the trees are blanketed with snow	( trees , p:blanket , with , snow )
2396649	916748	a ski pole is lying on the ground in the snow	( ski pole , lay , on , ground ) , ( ski pole , in , snow )
2391331	1172071	menu on food truck	( menu , on , food truck )
150	5518058	a street light on the sidewalk	( street light , on , sidewalk )
2323237	4622827	patterned stone floor under chair	( floor , under , chair ) , ( floor , is , stone ) , ( floor , is , patterned )
2340654	3591318	a catcher catching a ball	( catcher , catch , ball )
2387449	1358498	bear sitting on the rocks .	( bear , sit , on , rocks )
2315478	4796439	elephants under a tree	( elephants , under , tree )
2331323	4036419	a man 's hand holding a toothbrush	( hand , hold , toothbrush ) , ( man , have , hand )
2376991	1659598	black tower clock sitting on sidewalk	( tower clock , sit , on , sidewalk ) , ( tower clock , is , black )
285838	5950346	man leaning over food	( man , lean , over , food )
2869	5072268	grass on the side of a walkway	( grass , on side of , walkway )
2347866	3247134	the birds in the cage are yellow	( birds , is , yellow ) , ( birds , in , cage )
2363854	2483522	man leaning on his hand	( man , lean , on , hand )
2363392	2505754	a dog sleeping on a pillow	( dog , sleep , on , pillow )
2319865	4384152	cat sitting by a window	( cat , sit , by , window )
2342026	3525245	white cabinet with door	( cabinet , have , door ) , ( cabinet , is , white )
2357557	2784846	brown spots on an animal	( spots , is , brown ) , ( spots , on , animal )
2405028	456980	red and white airplane sitting on pavement .	( airplane , is , red ) , ( airplane , is , white ) , ( airplane , sit , on , pavement )
2325718	4304525	avocados stacked neatly on top of one another .	( avocado , p:stack , on top of , avocado:1 )
2365365	2411670	the girl is wearing ski pants	( girl , wear , ski pants )
2392587	1112082	the man is wearing glasses	( man , wear , glasses )
2416504	4860493	curtain in the window	( curtain , in , window )
2341722	3540106	toilet seat raised on a toilet .	( toilet , is , raised ) , ( toilet , have , seat )
546	4956103	coffee bar with a poster on the wall	( coffee bar , have , poster ) , ( poster , on , wall )
2412966	127363	woman sniffing chocolate cake	( woman , sniff , chocolate cake )
2350358	3128101	a mirror in the cupboard	( mirror , in , cupboard )
2322859	4640846	a boy on some skiis	( boy , ski , on , skiis )
2368464	2263360	ducks on the shore	( ducks , on , shore )
2349812	3153994	metal chain attached to door	( chain , p:attach , to , door ) , ( chain , is , metal )
2340907	3579187	woman swinging a bat	( woman , swing , bat )
2326553	4264539	mirrors on the bus	( mirrors , on , bus )
2335758	5774712	a man with a beard	( man , with , beard )
2407417	342802	building behind the zebras	( building , behind , zebras )
2402828	623188	the skateboards are on a tennis court	( skateboards , on , tennis court )
2333136	3796166	bears entering the woods	( bears , enter , woods )
